DaysSinceDetection,LineageBroad_BoostTiterGroup,low_ct1,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__,LineageBroad,BoostTiterGroup,Detection group
8.080808080808081,OmicronHighBoosted,0.288,1,8.080808080808081,OmicronHighBoosted,0.3613340928362157,0.03541997721235579,0.29635303303484845,0.43504125631505364,Omicron,Boosted: >250 AU/ml,Frequent testing
8.080808080808081,OmicronHighNotBoosted,0.288,1,8.080808080808081,OmicronHighNotBoosted,0.20362883410708485,0.047328634575291476,0.1213639900417121,0.30271275381238544,Omicron,Not Boosted: >250 AU/ml,Frequent testing
8.080808080808081,OmicronLowBoosted,0.288,1,8.080808080808081,OmicronLowBoosted,0.5225087444665772,0.035078619819907814,0.4529068731181102,0.5887473332408689,Omicron,Boosted: ≤250 AU/ml,Frequent testing
8.080808080808081,OmicronLowNotBoosted,0.288,1,8.080808080808081,OmicronLowNotBoosted,0.21104670284123295,0.05989964965318409,0.11218373646264396,0.34447611102276604,Omicron,Not Boosted: ≤250 AU/ml,Frequent testing
8.080808080808081,OtherHighNotBoosted,0.288,1,8.080808080808081,OtherHighNotBoosted,0.4490440053416479,0.05726246847014952,0.337036537935314,0.5606729220519283,Other,Not Boosted: >250 AU/ml,Frequent testing
8.080808080808081,OtherLowNotBoosted,0.288,1,8.080808080808081,OtherLowNotBoosted,0.1681835798520512,0.06857266162373786,0.06792233747405031,0.3433722710722542,Other,Not Boosted: ≤250 AU/ml,Frequent testing
8.333333333333334,DeltaHighBoosted,0.288,1,8.333333333333334,DeltaHighBoosted,0.8746655314166323,0.0898920388854818,0.6510081414373244,0.9889591743296383,Delta,Boosted: >250 AU/ml,Frequent testing
8.333333333333334,DeltaHighNotBoosted,0.288,1,8.333333333333334,DeltaHighNotBoosted,0.7536979863570494,0.184885273871612,0.27984877237920586,0.9637082177448258,Delta,Not Boosted: >250 AU/ml,Frequent testing
8.333333333333334,DeltaLowBoosted,0.288,1,8.333333333333334,DeltaLowBoosted,0.9950246068230253,0.006772592317235417,0.8928914573882615,0.9999777759389372,Delta,Boosted: ≤250 AU/ml,Frequent testing
8.333333333333334,DeltaLowNotBoosted,0.288,1,8.333333333333334,DeltaLowNotBoosted,0.3869076691355997,0.10335948187007697,0.21053861146439723,0.588013740935668,Delta,Not Boosted: ≤250 AU/ml,Frequent testing
8.333333333333334,OmicronHighBoosted,0.288,1,8.333333333333334,OmicronHighBoosted,0.34315868590558307,0.03515204496586724,0.2802221380604477,0.4170261951807464,Omicron,Boosted: >250 AU/ml,Frequent testing
8.333333333333334,OmicronHighNotBoosted,0.288,1,8.333333333333334,OmicronHighNotBoosted,0.18037386839103725,0.0457621934806275,0.10212511294564354,0.27796169673952237,Omicron,Not Boosted: >250 AU/ml,Frequent testing
8.333333333333334,OmicronLowBoosted,0.288,1,8.333333333333334,OmicronLowBoosted,0.4997133702275325,0.03470703553235235,0.431245621163954,0.565809247953834,Omicron,Boosted: ≤250 AU/ml,Frequent testing
8.333333333333334,OmicronLowNotBoosted,0.288,1,8.333333333333334,OmicronLowNotBoosted,0.19376166621649782,0.058795605480909854,0.09789670805396594,0.32515153677878156,Omicron,Not Boosted: ≤250 AU/ml,Frequent testing
8.333333333333334,OtherHighNotBoosted,0.288,1,8.333333333333334,OtherHighNotBoosted,0.42018550360002616,0.05621368894184156,0.30764910103103854,0.5325646916387314,Other,Not Boosted: >250 AU/ml,Frequent testing
